52,7761,-5554,-588,153,-89,-9622,4408,-2263
126,7464,-5208,-573,180,-118,-9368,5311,-3243
-164,7679,-4449,-570,176,-153,-9368,5410,-4225
-626,8492,-3455,-561,159,-178,-9368,5410,-4225
-1228,9843,-2449,-544,156,-217,-9368,5410,-4225
-1751,11132,-1656,-563,137,-256,-9368,4193,-7073
-2447,12470,-1355,-636,116,-291,-9368,4193,-7073
-2859,13693,-392,-736,67,-327,-12156,2297,-9036
-3294,15041,255,-873,0,-365,-12156,2297,-9036
-3148,15999,1322,-1039,-67,-402,-16970,-2125,-11046
-3052,15999,2154,-1176,-150,-426,-19251,-4389,-12044
-3103,15999,2630,-1297,-234,-460,-21278,-6604,-13082
-3468,15999,2603,-1378,-312,-471,-21278,-6604,-13082
-4156,14921,2265,-1360,-411,-495,-21278,-6604,-13082
-4828,13855,2087,-1306,-516,-570,-21278,-15832,-15728
-5585,13380,2902,-1249,-611,-668,-21278,-15832,-15728
-6587,13097,3955,-1179,-708,-760,-19251,-21408,-21079
-7310,13392,4642,-987,-801,-852,-16210,-24093,-23702
-7990,13189,4804,-791,-905,-901,-12916,-27141,-25286
-7589,11835,5480,-420,-991,-944,-6834,-30078,-26375
-5406,6373,5453,238,-1058,-850,-6834,-30078,-26375
-2078,10791,4158,708,-975,-815,11409,-29504,-22874
2486,13572,2623,723,-801,-542,11409,-29504,-22874
6439,15999,-156,265,-685,-257,11409,-29504,-22874
8113,12238,-6507,219,-697,46,11409,-29504,-22874
4328,6076,-11585,312,-596,265,11409,-29504,-22874
-152,7974,-8888,229,-381,449,3554,-11441,12484
-3792,5416,-8306,300,-369,431,3554,-11441,12484
-6593,3521,-10046,388,-318,353,3554,-11441,12484
-6617,5078,-11929,382,-159,450,6088,-4947,12557
-5220,7152,-12283,313,-99,409,5074,-3260,11627
-4943,8507,-11654,289,-104,397,4568,-3060,11034
-4929,9109,-10939,213,-73,446,4568,-3060,11034
-3521,10250,-11310,172,-2,540,4568,-3060,11034
-1730,12298,-12578,23,101,645,260,3054,18100
-433,12757,-10394,-221,169,700,260,3054,18100
310,11281,-6902,-367,168,671,-6074,4926,19111
113,9074,-3443,-478,125,588,-7848,3939,16145
-791,6875,-11,-555,88,485,-7848,3939,16145
-2455,2921,3080,-575,76,351,-7848,3939,16145
-3742,-1849,4613,-512,-5,225,-7848,3939,16145
-4333,-6900,4023,-369,-113,113,-7848,3939,16145
-5398,-10533,2140,-160,-260,25,-2780,-7672,588
-5810,-11574,2720,106,-356,-63,-2780,-7672,588
-5367,-10228,4126,366,-315,-151,-2780,-7672,588
-3357,-7732,-1882,633,-322,-214,10142,-9636,-5955
-2412,-5054,-9279,1016,-622,-304,10142,-9636,-5955
-5136,-833,-10798,1105,-705,-371,10142,-9636,-5955
-6960,5234,-15111,1021,-590,-464,16477,-17704,-12999
-6326,11291,-9587,557,-460,-517,8875,-13795,-14609
-4660,15876,1511,30,-520,-564,8875,-13795,-14609
-3701,13171,4064,-50,-819,-460,-1006,-24579,-12861
-4675,8816,-251,-76,-1132,-209,-1260,31204,-5883
-4855,2353,-4324,-529,-1048,-55,-1260,31204,-5883
-1691,-2425,-5673,-504,-701,104,-8355,-20847,2665
1027,496,-4009,-190,-413,195,-8355,-20847,2665
2554,6226,-267,-16,-370,305,-8355,-20847,2665
4074,10046,3230,31,-515,521,-8355,-20847,2665
3517,12769,4160,82,-518,731,1273,-15876,20416
1531,15999,5126,-77,-425,796,1273,-15876,20416
1017,15999,8425,-411,-308,720,1273,-15876,20416
783,15999,9587,-596,-152,611,1273,-15876,20416
2300,15999,9082,-498,75,561,1273,-15876,20416
5716,15999,7083,-321,339,538,1273,-15876,20416
8970,15999,6416,-192,624,592,-3287,18672,16561
11496,15999,8152,-221,980,737,-3287,18672,16561
13275,15999,7814,-142,1396,908,-3287,18672,16561
14845,14904,4830,223,1833,1045,3554,-10294,28948
15212,11736,423,827,1999,1123,13183,-5280,31413
9824,9515,-3318,1126,1999,1108,13183,-5280,31413
292,9730,-10058,1403,1999,920,22559,-5350,25741
-9443,15999,-11875,1330,1999,580,22559,-5350,25741
-16000,15999,-13195,728,1711,60,11663,-13920,1549
